Epoch: [5][720/960]	 Time 0.036 (0.066)	Data 0.017 (0.046)	Loss 9.9811 (9.4230)	
Epoch: [5][750/960]	 Time 0.054 (0.065)	Data 0.027 (0.046)	Loss 3.2132 (9.4827)	
Epoch: [5][780/960]	 Time 0.062 (0.065)	Data 0.054 (0.045)	Loss 8.7668 (9.7081)	
Epoch: [5][810/960]	 Time 0.064 (0.065)	Data 0.052 (0.046)	Loss 85.6739 (9.6058)	
Epoch: [5][840/960]	 Time 0.059 (0.066)	Data 0.030 (0.046)	Loss 3.4095 (9.8500)	
Epoch: [5][870/960]	 Time 0.105 (0.066)	Data 0.081 (0.046)	Loss 0.8137 (9.6366)	
Epoch: [5][900/960]	 Time 0.063 (0.067)	Data 0.051 (0.046)	Loss 3.9247 (9.5739)	
Epoch: [5][930/960]	 Time 0.115 (0.067)	Data 0.087 (0.047)	Loss 2.9872 (9.9040)	
 * MAE 41.440 
 * best MAE 31.678 
Epoch: [6][0/960]	 Time 0.058 (0.058)	Data 0.030 (0.030)	Loss 3.0827 (3.0827)	
Epoch: [6][30/960]	 Time 0.052 (0.063)	Data 0.029 (0.042)	Loss 2.1243 (8.0485)	
Epoch: [6][60/960]	 Time 0.044 (0.065)	Data 0.022 (0.045)	Loss 1.7189 (9.4323)	
Epoch: [6][90/960]	 Time 0.120 (0.060)	Data 0.088 (0.040)	Loss 1.1064 (8.9960)	
Epoch: [6][120/960]	 Time 0.159 (0.069)	Data 0.134 (0.048)	Loss 0.7827 (8.0623)	
Epoch: [6][150/960]	 Time 0.056 (0.065)	Data 0.028 (0.045)	Loss 0.9249 (9.1455)	
Epoch: [6][180/960]	 Time 0.040 (0.063)	Data 0.032 (0.044)	Loss 35.9482 (9.0602)	
Epoch: [6][210/960]	 Time 0.028 (0.063)	Data 0.012 (0.043)	Loss 4.4438 (8.9303)	
Epoch: [6][240/960]	 Time 0.032 (0.062)	Data 0.020 (0.043)	Loss 1.6634 (9.1869)	
